image_id,filename,filepath,valid,width,height,format,file_size_kb,error,blur_score,blur_status,duplicate_group,keep_image,hash_distance,brightness,contrast,exposure_status,selected_for_colmap
31,frame_000030.jpg,data\extracted_frames\shoe\frame_000030.jpg,True,1920,1080,JPEG,361.24,,18.65,rejected,23,True,12,155.36,34.1,normal,False
32,frame_000031.jpg,data\extracted_frames\shoe\frame_000031.jpg,True,1920,1080,JPEG,378.73,,18.89,rejected,24,True,10,151.98,31.88,normal,False
33,frame_000032.jpg,data\extracted_frames\shoe\frame_000032.jpg,True,1920,1080,JPEG,392.55,,24.83,rejected,24,False,4,150.6,31.79,normal,False
34,frame_000033.jpg,data\extracted_frames\shoe\frame_000033.jpg,True,1920,1080,JPEG,371.92,,25.61,kept,25,True,8,149.93,32.74,normal,True
35,frame_000034.jpg,data\extracted_frames\shoe\frame_000034.jpg,True,1920,1080,JPEG,376.15,,15.71,rejected,26,True,10,148.59,32.63,normal,False
36,frame_000035.jpg,data\extracted_frames\shoe\frame_000035.jpg,True,1920,1080,JPEG,374.63,,13.05,rejected,27,True,14,147.29,32.04,normal,False
37,frame_000036.jpg,data\extracted_frames\shoe\frame_000036.jpg,True,1920,1080,JPEG,359.02,,13.64,rejected,28,True,14,146.96,31.82,normal,False
38,frame_000037.jpg,data\extracted_frames\shoe\frame_000037.jpg,True,1920,1080,JPEG,353.14,,10.84,rejected,29,True,16,147.04,31.99,normal,False
39,frame_000038.jpg,data\extracted_frames\shoe\frame_000038.jpg,True,1920,1080,JPEG,377.96,,17.68,rejected,30,True,10,146.52,32.39,normal,False
40,frame_000039.jpg,data\extracted_frames\shoe\frame_000039.jpg,True,1920,1080,JPEG,364.09,,18.13,rejected,31,True,10,145.87,32.85,normal,False
41,frame_000040.jpg,data\extracted_frames\shoe\frame_000040.jpg,True,1920,1080,JPEG,385.49,,20.08,rejected,31,False,4,145.83,33.29,normal,False
42,frame_000041.jpg,data\extracted_frames\shoe\frame_000041.jpg,True,1920,1080,JPEG,391.37,,20.16,rejected,32,True,8,147.01,34.24,normal,False
43,frame_000042.jpg,data\extracted_frames\shoe\frame_000042.jpg,True,1920,1080,JPEG,368.94,,17.05,rejected,33,True,16,149.68,35.66,normal,False
44,frame_000043.jpg,data\extracted_frames\shoe\frame_000043.jpg,True,1920,1080,JPEG,390.86,,20.79,rejected,34,True,8,150.32,36.31,normal,False
45,frame_000044.jpg,data\extracted_frames\shoe\frame_000044.jpg,True,1920,1080,JPEG,372.08,,18.18,rejected,35,True,6,150.76,36.0,normal,False
46,frame_000045.jpg,data\extracted_frames\shoe\frame_000045.jpg,True,1920,1080,JPEG,338.98,,15.19,rejected,36,True,6,150.73,35.88,normal,False
47,frame_000046.jpg,data\extracted_frames\shoe\frame_000046.jpg,True,1920,1080,JPEG,363.0,,18.28,rejected,37,True,16,149.44,35.84,normal,False
48,frame_000047.jpg,data\extracted_frames\shoe\frame_000047.jpg,True,1920,1080,JPEG,378.51,,20.27,rejected,38,True,12,151.41,38.29,normal,False
49,frame_000048.jpg,data\extracted_frames\shoe\frame_000048.jpg,True,1920,1080,JPEG,348.76,,16.85,rejected,39,True,18,155.19,41.18,normal,False
50,frame_000049.jpg,data\extracted_frames\shoe\frame_000049.jpg,True,1920,1080,JPEG,381.51,,22.65,rejected,40,True,10,155.87,42.38,normal,False
51,frame_000050.jpg,data\extracted_frames\shoe\frame_000050.jpg,True,1920,1080,JPEG,377.39,,20.42,rejected,41,True,14,156.92,43.22,normal,False
52,frame_000051.jpg,data\extracted_frames\shoe\frame_000051.jpg,True,1920,1080,JPEG,354.08,,19.8,rejected,42,True,8,156.99,43.64,normal,False
53,frame_000052.jpg,data\extracted_frames\shoe\frame_000052.jpg,True,1920,1080,JPEG,374.25,,19.09,rejected,43,True,6,156.47,44.37,normal,False
54,frame_000053.jpg,data\extracted_frames\shoe\frame_000053.jpg,True,1920,1080,JPEG,363.09,,18.31,rejected,44,True,10,155.37,44.75,normal,False
55,frame_000054.jpg,data\extracted_frames\shoe\frame_000054.jpg,True,1920,1080,JPEG,346.87,,16.33,rejected,45,True,8,153.74,45.21,normal,False
56,frame_000055.jpg,data\extracted_frames\shoe\frame_000055.jpg,True,1920,1080,JPEG,371.78,,20.05,rejected,46,True,8,152.36,45.45,normal,False
57,frame_000056.jpg,data\extracted_frames\shoe\frame_000056.jpg,True,1920,1080,JPEG,391.68,,25.07,kept,46,False,4,151.33,45.05,normal,False
58,frame_000057.jpg,data\extracted_frames\shoe\frame_000057.jpg,True,1920,1080,JPEG,366.03,,22.84,rejected,47,True,6,150.72,44.21,normal,False
59,frame_000058.jpg,data\extracted_frames\shoe\frame_000058.jpg,True,1920,1080,JPEG,366.69,,19.45,rejected,48,True,6,150.99,43.17,normal,False
60,frame_000059.jpg,data\extracted_frames\shoe\frame_000059.jpg,True,1920,1080,JPEG,382.42,,22.19,rejected,49,True,6,152.73,41.93,normal,False
61,frame_000060.jpg,data\extracted_frames\shoe\frame_000060.jpg,True,1920,1080,JPEG,354.08,,17.5,rejected,50,True,12,155.27,41.72,normal,False
62,frame_000061.jpg,data\extracted_frames\shoe\frame_000061.jpg,True,1920,1080,JPEG,360.13,,14.72,rejected,51,True,6,160.45,41.42,normal,False
63,frame_000062.jpg,data\extracted_frames\shoe\frame_000062.jpg,True,1920,1080,JPEG,382.96,,18.95,rejected,51,False,2,162.83,41.61,normal,False
64,frame_000063.jpg,data\extracted_frames\shoe\frame_000063.jpg,True,1920,1080,JPEG,344.67,,16.15,rejected,52,True,12,164.19,42.42,normal,False
65,frame_000064.jpg,data\extracted_frames\shoe\frame_000064.jpg,True,1920,1080,JPEG,357.82,,13.97,rejected,53,True,8,165.88,42.0,normal,False
66,frame_000065.jpg,data\extracted_frames\shoe\frame_000065.jpg,True,1920,1080,JPEG,372.39,,17.14,rejected,54,True,12,164.81,42.47,normal,False
67,frame_000066.jpg,data\extracted_frames\shoe\frame_000066.jpg,True,1920,1080,JPEG,353.23,,18.63,rejected,55,True,8,165.75,43.22,normal,False
68,frame_000067.jpg,data\extracted_frames\shoe\frame_000067.jpg,True,1920,1080,JPEG,402.68,,25.74,kept,56,True,10,165.58,43.11,normal,True
69,frame_000068.jpg,data\extracted_frames\shoe\frame_000068.jpg,True,1920,1080,JPEG,373.48,,14.07,rejected,57,True,10,166.59,42.93,normal,False
70,frame_000069.jpg,data\extracted_frames\shoe\frame_000069.jpg,True,1920,1080,JPEG,328.24,,10.33,rejected,57,False,2,166.45,42.84,normal,False
71,frame_000070.jpg,data\extracted_frames\shoe\frame_000070.jpg,True,1920,1080,JPEG,414.91,,27.52,kept,58,True,8,166.25,43.03,normal,True
72,frame_000071.jpg,data\extracted_frames\shoe\frame_000071.jpg,True,1920,1080,JPEG,430.39,,28.73,kept,59,True,10,165.13,42.45,normal,True
73,frame_000072.jpg,data\extracted_frames\shoe\frame_000072.jpg,True,1920,1080,JPEG,341.09,,11.77,rejected,60,True,12,162.9,40.68,normal,False
74,frame_000073.jpg,data\extracted_frames\shoe\frame_000073.jpg,True,1920,1080,JPEG,325.98,,8.0,rejected,61,True,14,162.93,40.44,normal,False
75,frame_000074.jpg,data\extracted_frames\shoe\frame_000074.jpg,True,1920,1080,JPEG,368.73,,12.77,rejected,62,True,14,161.89,39.92,normal,False
76,frame_000075.jpg,data\extracted_frames\shoe\frame_000075.jpg,True,1920,1080,JPEG,375.86,,16.75,rejected,63,True,6,160.66,40.51,normal,False
77,frame_000076.jpg,data\extracted_frames\shoe\frame_000076.jpg,True,1920,1080,JPEG,373.19,,14.27,rejected,64,True,16,157.62,40.3,normal,False
78,frame_000077.jpg,data\extracted_frames\shoe\frame_000077.jpg,True,1920,1080,JPEG,376.18,,14.21,rejected,65,True,8,154.41,40.13,normal,False
79,frame_000078.jpg,data\extracted_frames\shoe\frame_000078.jpg,True,1920,1080,JPEG,384.4,,18.08,rejected,66,True,6,151.03,40.38,normal,False
80,frame_000079.jpg,data\extracted_frames\shoe\frame_000079.jpg,True,1920,1080,JPEG,379.51,,13.88,rejected,66,False,4,151.17,40.38,normal,False
81,frame_000080.jpg,data\extracted_frames\shoe\frame_000080.jpg,True,1920,1080,JPEG,401.23,,18.51,rejected,67,True,10,151.39,42.16,normal,False
82,frame_000081.jpg,data\extracted_frames\shoe\frame_000081.jpg,True,1920,1080,JPEG,416.9,,27.54,kept,68,True,8,151.57,43.59,normal,True
83,frame_000082.jpg,data\extracted_frames\shoe\frame_000082.jpg,True,1920,1080,JPEG,396.13,,20.48,rejected,68,False,4,152.55,45.0,normal,False
84,frame_000083.jpg,data\extracted_frames\shoe\frame_000083.jpg,True,1920,1080,JPEG,380.54,,15.5,rejected,69,True,12,152.78,45.15,normal,False
85,frame_000084.jpg,data\extracted_frames\shoe\frame_000084.jpg,True,1920,1080,JPEG,395.97,,22.48,rejected,70,True,8,153.13,45.24,normal,False
